source_id	source_type	source_role_in_sample	title	citation_key	citation_ref	citation_rendered	bibtex_file	doi	url	notes
src_schaefer2019meaningfulness	source_family_or_collection	extraction_source	Schäfer/Schwarz preregistered psychology articles	schaefer2019meaningfulness	@schaefer2019meaningfulness	Schäfer, Thomas and Schwarz, Marcus A. (2019). The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases. Frontiers in Psychology. doi:10.3389/fpsyg.2019.00813.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	paper_like_work	represented_source	2016 preregistered key-question effect (schaefer_2019_preg_81)							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_yengo2022	source_family_or_collection	extraction_source	gwas_catalog	yengo2022	@yengo2022	Yengo, Loïc and Vedantam, Sailaja and Marouli, Eirini and Sidorenko, Julia and Bartell, Eric and Sakaue, Saori and Graff, Marielisa and Eliasen, Anders U. and Jiang, Yunxuan and Raghavan, Sridharan and Miao, Jenkai and Arias, Joshua D. and Graham, Sarah E. and Mukamel, Ronen E. and Spracklen, Cassandra N. and Yin, Xianyong and Chen, Shyh-Huei and Ferreira, Teresa and Highland, Heather H. and Ji, Yingjie and Karaderi, Tugce and Lin, Kuang and Lüll, Kreete and Malden, Deborah E. and Medina-Gomez, Carolina and Machado, Moara and Moore, Amy and Rüeger, Sina and Sim, Xueling and Vrieze, Scott and Ahluwalia, Tarunveer S. and Akiyama, Masato and Allison, Matthew A. and Alvarez, Marcus and Andersen, Mette K. and Ani, Alireza and Appadurai, Vivek and Arbeeva, Liubov and Bhaskar, Seema and Bielak, Lawrence F. and Bollepalli, Sailalitha and Bonnycastle, Lori L. and Bork-Jensen, Jette and Bradfield, Jonathan P. and Bradford, Yuki and Braund, Peter S. and Brody, Jennifer A. and Burgdorf, Kristoffer S. and Cade, Brian E. and Cai, Hui and Cai, Qiuyin and Campbell, Archie and Cañadas-Garre, Marisa and Catamo, Eulalia and Chai, Jin-Fang and Chai, Xiaoran and Chang, Li-Ching and Chang, Yi-Cheng and Chen, Chien-Hsiun and Chesi, Alessandra and Choi, Seung Hoan and Chung, Ren-Hua and Cocca, Massimiliano and Concas, Maria Pina and Couture, Christian and Cuellar-Partida, Gabriel and Danning, Rebecca and Daw, E. Warwick and Degenhard, Frauke and Delgado, Graciela E. and Delitala, Alessandro and Demirkan, Ayse and Deng, Xuan and Devineni, Poornima and Dietl, Alexander and Dimitriou, Maria and Dimitrov, Latchezar and Dorajoo, Rajkumar and Ekici, Arif B. and Engmann, Jorgen E. and Fairhurst-Hunter, Zammy and Farmaki, Aliki-Eleni and Faul, Jessica D. and Fernandez-Lopez, Juan-Carlos and Forer, Lukas and Francescatto, Margherita and Freitag-Wolf, Sandra and Fuchsberger, Christian and Galesloot, Tessel E. and Gao, Yan and Gao, Zishan and Geller, Frank and Giannakopoulou, Olga and Giulianini, Franco and Gjesing, Anette P. and Goel, Anuj and Gordon, Scott D. and Gorski, Mathias and Grove, Jakob and Guo, Xiuqing and Gustafsson, Stefan and Haessler, Jeffrey and Hansen, Thomas F. and Havulinna, Aki S. and Haworth, Simon J. and He, Jing and Heard-Costa, Nancy and Hebbar, Prashantha and Hindy, George and Ho, Yuk-Lam A. and Hofer, Edith and Holliday, Elizabeth and Horn, Katrin and Hornsby, Whitney E. and Hottenga, Jouke-Jan and Huang, Hongyan and Huang, Jie and Huerta-Chagoya, Alicia and Huffman, Jennifer E. and Hung, Yi-Jen and Huo, Shaofeng and Hwang, Mi Yeong and Iha, Hiroyuki and Ikeda, Daisuke D. and Isono, Masato and Jackson, Anne U. and Jäger, Susanne and Jansen, Iris E. and Johansson, Ingegerd and Jonas, Jost B. and Jonsson, Anna and Jørgensen, Torben and Kalafati, Ioanna-Panagiota and Kanai, Masahiro and Kanoni, Stavroula and Kårhus, Line L. and Kasturiratne, Anuradhani and Katsuya, Tomohiro and Kawaguchi, Takahisa and Kember, Rachel L. and Kentistou, Katherine A. and Kim, Han-Na and Kim, Young Jin and Kleber, Marcus E. and Knol, Maria J. and Kurbasic, Azra and Lauzon, Marie and Le, Phuong and Lea, Rodney and Lee, Jong-Young and Leonard, Hampton L. and Li, Shengchao A. and Li, Xiaohui and Li, Xiaoyin and Liang, Jingjing and Lin, Honghuang and Lin, Shih-Yi and Liu, Jun and Liu, Xueping and Lo, Ken Sin and Long, Jirong and Lores-Motta, Laura and Luan, Jian’an and Lyssenko, Valeriya and Lyytikäinen, Leo-Pekka and Mahajan, Anubha and Mamakou, Vasiliki and Mangino, Massimo and Manichaikul, Ani and Marten, Jonathan and Mattheisen, Manuel and Mavarani, Laven and McDaid, Aaron F. and Meidtner, Karina and Melendez, Tori L. and Mercader, Josep M. and Milaneschi, Yuri and Miller, Jason E. and Millwood, Iona Y. and Mishra, Pashupati P. and Mitchell, Ruth E. and Møllehave, Line T. and Morgan, Anna and Mucha, Soeren and Munz, Matthias and Nakatochi, Masahiro and Nelson, Christopher P. and Nethander, Maria and Nho, Chu Won and Nielsen, Aneta A. and Nolte, Ilja M. and Nongmaithem, Suraj S. and Noordam, Raymond and Ntalla, Ioanna and Nutile, Teresa and Pandit, Anita and Christofidou, Paraskevi and Pärna, Katri and Pauper, Marc and Petersen, Eva R. B. and Petersen, Liselotte V. and Pitkänen, Niina and Polašek, Ozren and Poveda, Alaitz and Preuss, Michael H. and Pyarajan, Saiju and Raffield, Laura M. and Rakugi, Hiromi and Ramirez, Julia and Rasheed, Asif and Raven, Dennis and Rayner, Nigel W. and Riveros, Carlos and Rohde, Rebecca and Ruggiero, Daniela and Ruotsalainen, Sanni E. and Ryan, Kathleen A. and Sabater-Lleal, Maria and Saxena, Richa and Scholz, Markus and Sendamarai, Anoop and Shen, Botong and Shi, Jingchunzi and Shin, Jae Hun and Sidore, Carlo and Sitlani, Colleen M. and Slieker, Roderick C. and Smit, Roelof A. J. and Smith, Albert V. and Smith, Jennifer A. and Smyth, Laura J. and Southam, Lorraine and Steinthorsdottir, Valgerdur and Sun, Liang and Takeuchi, Fumihiko and Tallapragada, Divya Sri Priyanka and Taylor, Kent D. and Tayo, Bamidele O. and Tcheandjieu, Catherine and Terzikhan, Natalie and Tesolin, Paola and Teumer, Alexander and Theusch, Elizabeth and Thompson, Deborah J. and Thorleifsson, Gudmar and Timmers, Paul R. H. J. and Trompet, Stella and Turman, Constance and Vaccargiu, Simona and van der Laan, Sander W. and van der Most, Peter J. and van Klinken, Jan B. and van Setten, Jessica and Verma, Shefali S. and Verweij, Niek and Veturi, Yogasudha and Wang, Carol A. and Wang, Chaolong and Wang, Lihua and Wang, Zhe and Warren, Helen R. and Bin Wei, Wen and Wickremasinghe, Ananda R. and Wielscher, Matthias and Wiggins, Kerri L. and Winsvold, Bendik S. and Wong, Andrew and Wu, Yang and Wuttke, Matthias and Xia, Rui and Xie, Tian and Yamamoto, Ken and Yang, Jingyun and Yao, Jie and Young, Hannah and Yousri, Noha A. and Yu, Lei and Zeng, Lingyao and Zhang, Weihua and Zhang, Xinyuan and Zhao, Jing-Hua and Zhao, Wei and Zhou, Wei and Zimmermann, Martina E. and Zoledziewska, Magdalena and Adair, Linda S. and Adams, Hieab H. H. and Aguilar-Salinas, Carlos A. and Al-Mulla, Fahd and Arnett, Donna K. and Asselbergs, Folkert W. and Åsvold, Bjørn Olav and Attia, John and Banas, Bernhard and Bandinelli, Stefania and Bennett, David A. and Bergler, Tobias and Bharadwaj, Dwaipayan and Biino, Ginevra and Bisgaard, Hans and Boerwinkle, Eric and Böger, Carsten A. and Bønnelykke, Klaus and Boomsma, Dorret I. and Børglum, Anders D. and Borja, Judith B. and Bouchard, Claude and Bowden, Donald W. and Brandslund, Ivan and Brumpton, Ben and Buring, Julie E. and Caulfield, Mark J. and Chambers, John C. and Chandak, Giriraj R. and Chanock, Stephen J. and Chaturvedi, Nish and Chen, Yii-Der Ida and Chen, Zhengming and Cheng, Ching-Yu and Christophersen, Ingrid E. and Ciullo, Marina and Cole, John W. and Collins, Francis S. and Cooper, Richard S. and Cruz, Miguel and Cucca, Francesco and Cupples, L. Adrienne and Cutler, Michael J. and Damrauer, Scott M. and Dantoft, Thomas M. and de Borst, Gert J. and de Groot, Lisette C. P. G. M. and De Jager, Philip L. and de Kleijn, Dominique P. V. and Janaka de Silva, H. and Dedoussis, George V. and den Hollander, Anneke I. and Du, Shufa and Easton, Douglas F. and Elders, Petra J. M. and Eliassen, A. Heather and Ellinor, Patrick T. and Elmståhl, Sölve and Erdmann, Jeanette and Evans, Michele K. and Fatkin, Diane and Feenstra, Bjarke and Feitosa, Mary F. and Ferrucci, Luigi and Ford, Ian and Fornage, Myriam and Franke, Andre and Franks, Paul W. and Freedman, Barry I. and Gasparini, Paolo and Gieger, Christian and Girotto, Giorgia and Goddard, Michael E. and Golightly, Yvonne M. and Gonzalez-Villalpando, Clicerio and Gordon-Larsen, Penny and Grallert, Harald and Grant, Struan F. A. and Grarup, Niels and Griffiths, Lyn and Gudnason, Vilmundur and Haiman, Christopher and Hakonarson, Hakon and Hansen, Torben and Hartman, Catharina A. and Hattersley, Andrew T. and Hayward, Caroline and Heckbert, Susan R. and Heng, Chew-Kiat and Hengstenberg, Christian and Hewitt, Alex W. and Hishigaki, Haretsugu and Hoyng, Carel B. and Huang, Paul L. and Huang, Wei and Hunt, Steven C. and Hveem, Kristian and Hyppönen, Elina and Iacono, William G. and Ichihara, Sahoko and Ikram, M. Arfan and Isasi, Carmen R. and Jackson, Rebecca D. and Jarvelin, Marjo-Riitta and Jin, Zi-Bing and Jöckel, Karl-Heinz and Joshi, Peter K. and Jousilahti, Pekka and Jukema, J. Wouter and Kähönen, Mika and Kamatani, Yoichiro and Kang, Kui Dong and Kaprio, Jaakko and Kardia, Sharon L. R. and Karpe, Fredrik and Kato, Norihiro and Kee, Frank and Kessler, Thorsten and Khera, Amit V. and Khor, Chiea Chuen and Kiemeney, Lambertus A. L. M. and Kim, Bong-Jo and Kim, Eung Kweon and Kim, Hyung-Lae and Kirchhof, Paulus and Kivimaki, Mika and Koh, Woon-Puay and Koistinen, Heikki A. and Kolovou, Genovefa D. and Kooner, Jaspal S. and Kooperberg, Charles and Köttgen, Anna and Kovacs, Peter and Kraaijeveld, Adriaan and Kraft, Peter and Krauss, Ronald M. and Kumari, Meena and Kutalik, Zoltan and Laakso, Markku and Lange, Leslie A. and Langenberg, Claudia and Launer, Lenore J. and Le Marchand, Loic and Lee, Hyejin and Lee, Nanette R. and Lehtimäki, Terho and Li, Huaixing and Li, Liming and Lieb, Wolfgang and Lin, Xu and Lind, Lars and Linneberg, Allan and Liu, Ching-Ti and Liu, Jianjun and Loeffler, Markus and London, Barry and Lubitz, Steven A. and Lye, Stephen J. and Mackey, David A. and Mägi, Reedik and Magnusson, Patrik K. E. and Marcus, Gregory M. and Vidal, Pedro Marques and Martin, Nicholas G. and März, Winfried and Matsuda, Fumihiko and McGarrah, Robert W. and McGue, Matt and McKnight, Amy Jayne and Medland, Sarah E. and Mellström, Dan and Metspalu, Andres and Mitchell, Braxton D. and Mitchell, Paul and Mook-Kanamori, Dennis O. and Morris, Andrew D. and Mucci, Lorelei A. and Munroe, Patricia B. and Nalls, Mike A. and Nazarian, Saman and Nelson, Amanda E. and Neville, Matt J. and Newton-Cheh, Christopher and Nielsen, Christopher S. and Nöthen, Markus M. and Ohlsson, Claes and Oldehinkel, Albertine J. and Orozco, Lorena and Pahkala, Katja and Pajukanta, Päivi and Palmer, Colin N. A. and Parra, Esteban J. and Pattaro, Cristian and Pedersen, Oluf and Pennell, Craig E. and Penninx, Brenda W. J. H. and Perusse, Louis and Peters, Annette and Peyser, Patricia A. and Porteous, David J. and Posthuma, Danielle and Power, Chris and Pramstaller, Peter P. and Province, Michael A. and Qi, Qibin and Qu, Jia and Rader, Daniel J. and Raitakari, Olli T. and Ralhan, Sarju and Rallidis, Loukianos S. and Rao, Dabeeru C. and Redline, Susan and Reilly, Dermot F. and Reiner, Alexander P. and Rhee, Sang Youl and Ridker, Paul M. and Rienstra, Michiel and Ripatti, Samuli and Ritchie, Marylyn D. and Roden, Dan M. and Rosendaal, Frits R. and Rotter, Jerome I. and Rudan, Igor and Rutters, Femke and Sabanayagam, Charumathi and Saleheen, Danish and Salomaa, Veikko and Samani, Nilesh J. and Sanghera, Dharambir K. and Sattar, Naveed and Schmidt, Börge and Schmidt, Helena and Schmidt, Reinhold and Schulze, Matthias B. and Schunkert, Heribert and Scott, Laura J. and Scott, Rodney J. and Sever, Peter and Shiroma, Eric J. and Shoemaker, M. Benjamin and Shu, Xiao-Ou and Simonsick, Eleanor M. and Sims, Mario and Singh, Jai Rup and Singleton, Andrew B. and Sinner, Moritz F. and Smith, J. Gustav and Snieder, Harold and Spector, Tim D. and Stampfer, Meir J. and Stark, Klaus J. and Strachan, David P. and ‘t Hart, Leen M. and Tabara, Yasuharu and Tang, Hua and Tardif, Jean-Claude and Thanaraj, Thangavel A. and Timpson, Nicholas J. and Tönjes, Anke and Tremblay, Angelo and Tuomi, Tiinamaija and Tuomilehto, Jaakko and Tusié-Luna, Maria-Teresa and Uitterlinden, Andre G. and van Dam, Rob M. and van der Harst, Pim and Van der Velde, Nathalie and van Duijn, Cornelia M. and van Schoor, Natasja M. and Vitart, Veronique and Völker, Uwe and Vollenweider, Peter and Völzke, Henry and Wacher-Rodarte, Niels H. and Walker, Mark and Wang, Ya Xing and Wareham, Nicholas J. and Watanabe, Richard M. and Watkins, Hugh and Weir, David R. and Werge, Thomas M. and Widen, Elisabeth and Wilkens, Lynne R. and Willemsen, Gonneke and Willett, Walter C. and Wilson, James F. and Wong, Tien-Yin and Woo, Jeong-Taek and Wright, Alan F. and Wu, Jer-Yuarn and Xu, Huichun and Yajnik, Chittaranjan S. and Yokota, Mitsuhiro and Yuan, Jian-Min and Zeggini, Eleftheria and Zemel, Babette S. and Zheng, Wei and Zhu, Xiaofeng and Zmuda, Joseph M. and Zonderman, Alan B. and Zwart, John-Anker and 23andMe Research Team and Partida, Gabriel Cuellar and VA Million Veteran Program and Sun, Yan and DiscovEHR (DiscovEHR and MyCode Community Health Initiative) and eMERGE (Electronic Medical Records and Genomics Network) and Croteau-Chonka, Damien and Lifelines Cohort Study and Vonk, Judith M. and The PRACTICAL Consortium and Chanock, Stephen and Le Marchand, Loic and Understanding Society Scientific Group and Chasman, Daniel I. and Cho, Yoon Shin and Heid, Iris M. and McCarthy, Mark I. and Ng, Maggie C. Y. and O’Donnell, Christopher J. and Rivadeneira, Fernando and Thorsteinsdottir, Unnur and Sun, Yan V. and Tai, E. Shyong and Boehnke, Michael and Deloukas, Panos and Justice, Anne E. and Lindgren, Cecilia M. and Loos, Ruth J. F. and Mohlke, Karen L. and North, Kari E. and Stefansson, Kari and Walters, Robin G. and Winkler, Thomas W. and Young, Kristin L. and Loh, Po-Ru and Yang, Jian and Esko, Tõnu and Assimes, Themistocles L. and Auton, Adam and Abecasis, Goncalo R. and Willer, Cristen J. and Locke, Adam E. and Berndt, Sonja I. and Lettre, Guillaume and Frayling, Timothy M. and Okada, Yukinori and Wood, Andrew R. and Visscher, Peter M. and Hirschhorn, Joel N. (2022). A saturated map of common genetic variants associated with human height. Nature. doi:10.1038/s41586-022-05275-y.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	paper_like_work	represented_source	Host genetic factors of COVID-19 susceptibility and disease severity in a Thai population.							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_tosh2024	source_family_or_collection	extraction_source	FReD filtered pair table	tosh2024	@tosh2024	Tosh, Christopher and Greengard, Philip and Goodrich, Ben and Gelman, Andrew and Vehtari, Aki and Hsu, Daniel (2025). The Piranha Problem: Large Effects Swimming in a Small Pond. Notices of the American Mathematical Society. doi:10.1090/noti3044.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	paper_like_work	represented_source	Disgust photographs lead to slower discrimination than frightening photographs							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_internalplot2replicationpairoriginalsbridge	source_family_or_collection	extraction_source	replication_pair_originals_bridge	internalPlot2ReplicationPairOriginalsBridge	@internalPlot2ReplicationPairOriginalsBridge	PublishedSmallNStudiesDon-tMatter project (2026). Replication-pair original-side bridge for Plot 2. https://www.rexdouglass.com	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	paper_like_work	represented_source	Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	registry_trial_or_result	represented_source	Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	registry_trial_or_result	represented_source	Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_zhang2025clinifact	source_family_or_collection	extraction_source	CliniFact published primary pairs	zhang2025clinifact	@zhang2025clinifact	Zhang, Boya and Bornet, Alban and Yazdani, Anthony and Khlebnikov, Philipp and Milutinovic, Marija and Rouhizadeh, Hossein and Amini, Poorya and Teodoro, Douglas (2025). A Dataset for Evaluating Clinical Research Claims in Large Language Models. Scientific Data. doi:10.1038/s41597-025-04417-x.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
